posteam,early_down_long_plays,early_down_pass_rate_pct,early_down_pass_rate_rank,fourth_down_attempts,fourth_down_success_rate_pct,fourth_down_attempt_rank,total_scoring_drives,avg_plays_per_scoring_drive,scoring_drive_efficiency_rank,red_zone_plays,red_zone_td_rate_pct,red_zone_td_rank
ARI,604,53.97,24,34,44.12,4,66,8.5,26,147,18.37,11
ATL,589,48.9,31,19,42.11,23,66,8.21,19,155,14.84,29
BAL,594,55.39,19,13,61.54,31,89,7.53,4,201,20.9,4
BUF,613,57.42,14,16,56.25,29,76,8.32,21,200,20.5,6
CAR,580,58.28,12,48,47.92,1,50,9.62,32,127,14.96,28
CHI,587,52.64,27,26,50.0,13,76,8.33,22,161,18.63,10
CIN,568,61.27,5,19,47.37,25,66,8.11,17,176,17.61,15
CLE,655,54.66,21,32,56.25,6,80,7.61,5,162,16.67,19
DAL,606,56.27,16,22,59.09,18,87,8.8,30,247,16.6,20
DEN,551,55.35,20,20,65.0,22,67,7.94,12,191,14.66,30
DET,614,54.23,22,40,52.5,2,79,7.82,10,215,19.53,8
GB,566,56.71,15,24,50.0,15,70,8.21,18,209,16.27,22
HOU,599,54.09,23,21,38.1,20,73,7.9,11,175,17.14,17
IND,601,55.74,17,32,50.0,7,72,8.1,16,185,15.14,27
JAX,614,60.42,7,29,44.83,9,70,7.66,6,161,16.77,18
KC,608,60.2,9,19,52.63,24,74,7.97,14,184,17.93,14
LA,591,55.5,18,21,61.9,19,80,8.34,24,193,18.65,9
LAC,582,62.03,4,32,46.88,5,69,8.57,28,169,16.57,21
LV,559,57.42,13,23,60.87,17,58,8.62,29,167,14.37,31
MIA,566,48.76,32,24,45.83,16,86,7.37,2,192,20.83,5
MIN,595,59.83,10,28,60.71,11,63,8.57,27,155,17.42,16
NE,541,58.41,11,25,36.0,14,47,7.43,3,98,21.43,2
NO,607,51.73,29,19,47.37,26,73,8.25,20,187,18.18,13
NYG,586,62.29,3,37,48.65,3,50,7.78,9,130,15.38,24
NYJ,595,62.69,2,29,58.62,8,58,6.83,1,120,10.0,32
PHI,603,60.36,8,26,73.08,12,78,9.15,31,182,19.78,7
PIT,537,48.98,30,19,47.37,27,58,8.09,15,131,15.27,25
SEA,565,60.53,6,16,37.5,30,69,8.33,23,160,16.25,23
SF,583,51.97,28,13,53.85,32,82,7.67,7,201,22.39,1
TB,548,52.74,26,18,66.67,28,66,8.36,25,145,15.17,26
TEN,569,52.9,25,20,55.0,21,62,7.95,13,126,18.25,12
WAS,598,67.73,1,29,55.17,10,63,7.76,8,142,21.13,3
