posteam,early_down_long_plays,pass_plays,rush_plays,early_down_pass_rate_pct,early_down_pass_rate_rank
WAS,598,405.0,190.0,67.73,1
NYJ,595,373.0,215.0,62.69,2
NYG,586,365.0,211.0,62.29,3
LAC,582,361.0,212.0,62.03,4
CIN,568,348.0,209.0,61.27,5
SEA,565,342.0,212.0,60.53,6
JAX,614,371.0,230.0,60.42,7
PHI,603,364.0,233.0,60.36,8
KC,608,366.0,227.0,60.2,9
MIN,595,356.0,232.0,59.83,10
NE,541,316.0,221.0,58.41,11
CAR,580,338.0,240.0,58.28,12
LV,559,321.0,226.0,57.42,13
BUF,613,352.0,238.0,57.42,14
GB,566,321.0,231.0,56.71,15
DAL,606,341.0,247.0,56.27,16
IND,601,335.0,255.0,55.74,17
LA,591,328.0,256.0,55.5,18
BAL,594,329.0,253.0,55.39,19
DEN,551,305.0,230.0,55.35,20
CLE,655,358.0,286.0,54.66,21
DET,614,333.0,262.0,54.23,22
HOU,599,324.0,266.0,54.09,23
ARI,604,326.0,271.0,53.97,24
TEN,569,301.0,252.0,52.9,25
TB,548,289.0,242.0,52.74,26
CHI,587,309.0,269.0,52.64,27
SF,583,303.0,254.0,51.97,28
NO,607,314.0,276.0,51.73,29
PIT,537,263.0,255.0,48.98,30
ATL,589,288.0,291.0,48.9,31
MIA,566,276.0,277.0,48.76,32
