posteam,fourth_down_attempts,fourth_down_conversions,fourth_down_failures,fourth_down_success_rate_pct,fourth_down_attempt_rank
CAR,48,23.0,25.0,47.92,1
DET,40,21.0,19.0,52.5,2
NYG,37,18.0,19.0,48.65,3
ARI,34,15.0,19.0,44.12,4
LAC,32,15.0,17.0,46.88,5
CLE,32,18.0,14.0,56.25,6
IND,32,16.0,16.0,50.0,7
NYJ,29,17.0,12.0,58.62,8
JAX,29,13.0,16.0,44.83,9
WAS,29,16.0,13.0,55.17,10
MIN,28,17.0,11.0,60.71,11
PHI,26,19.0,7.0,73.08,12
CHI,26,13.0,13.0,50.0,13
NE,25,9.0,16.0,36.0,14
GB,24,12.0,12.0,50.0,15
MIA,24,11.0,13.0,45.83,16
LV,23,14.0,9.0,60.87,17
DAL,22,13.0,9.0,59.09,18
LA,21,13.0,8.0,61.9,19
HOU,21,8.0,13.0,38.1,20
TEN,20,11.0,9.0,55.0,21
DEN,20,13.0,7.0,65.0,22
ATL,19,8.0,11.0,42.11,23
KC,19,10.0,9.0,52.63,24
CIN,19,9.0,10.0,47.37,25
NO,19,9.0,10.0,47.37,26
PIT,19,9.0,10.0,47.37,27
TB,18,12.0,6.0,66.67,28
BUF,16,9.0,7.0,56.25,29
SEA,16,6.0,10.0,37.5,30
BAL,13,8.0,5.0,61.54,31
SF,13,7.0,6.0,53.85,32
