posteam,total_scoring_drives,avg_plays_per_scoring_drive,scoring_drive_efficiency_rank
NYJ,58,6.83,1
MIA,86,7.37,2
NE,47,7.43,3
BAL,89,7.53,4
CLE,80,7.61,5
JAX,70,7.66,6
SF,82,7.67,7
WAS,63,7.76,8
NYG,50,7.78,9
DET,79,7.82,10
HOU,73,7.9,11
DEN,67,7.94,12
TEN,62,7.95,13
KC,74,7.97,14
PIT,58,8.09,15
IND,72,8.1,16
CIN,66,8.11,17
GB,70,8.21,18
ATL,66,8.21,19
NO,73,8.25,20
BUF,76,8.32,21
CHI,76,8.33,22
SEA,69,8.33,23
LA,80,8.34,24
TB,66,8.36,25
ARI,66,8.5,26
MIN,63,8.57,27
LAC,69,8.57,28
LV,58,8.62,29
DAL,87,8.8,30
PHI,78,9.15,31
CAR,50,9.62,32
