posteam,red_zone_plays,red_zone_touchdowns,red_zone_td_rate_pct,red_zone_td_rank
SF,201,45.0,22.39,1
NE,98,21.0,21.43,2
WAS,142,30.0,21.13,3
BAL,201,42.0,20.9,4
MIA,192,40.0,20.83,5
BUF,200,41.0,20.5,6
PHI,182,36.0,19.78,7
DET,215,42.0,19.53,8
LA,193,36.0,18.65,9
CHI,161,30.0,18.63,10
ARI,147,27.0,18.37,11
TEN,126,23.0,18.25,12
NO,187,34.0,18.18,13
KC,184,33.0,17.93,14
CIN,176,31.0,17.61,15
MIN,155,27.0,17.42,16
HOU,175,30.0,17.14,17
JAX,161,27.0,16.77,18
CLE,162,27.0,16.67,19
DAL,247,41.0,16.6,20
LAC,169,28.0,16.57,21
GB,209,34.0,16.27,22
SEA,160,26.0,16.25,23
NYG,130,20.0,15.38,24
PIT,131,20.0,15.27,25
TB,145,22.0,15.17,26
IND,185,28.0,15.14,27
CAR,127,19.0,14.96,28
ATL,155,23.0,14.84,29
DEN,191,28.0,14.66,30
LV,167,24.0,14.37,31
NYJ,120,12.0,10.0,32
